X,Y,fid,thanjavur_dem_250,rainfall_250m,thanjavur_kfactor_250m,soil_moisture_250m,thanjavur_ndvi_250m,sand_thanjavur_250m,lulc_250m,slope_250m,clay_thanjavur_250m,soil_loss_thanjavur
79.1302660689473,10.4319760484708,811,37,381.8236,0.02045,3.33387,-0.08476,366,30,89.76144,342,48.733
79.1303200222725,10.4229365561299,812,37,385.63633,0.01646,3.29194,-0.07546,379,30,89.18186,343,39.26389
79.1303739262342,10.4138970584158,813,38,389.46627,0.02415,3.24985,-0.08293,350,40,89.82556,385,58.59447
79.1304277808393,10.404857555333,814,41,393.31339,0.02007,3.20761,-0.14608,351,40,89.03479,373,52.04147
79.1304815860946,10.3958180468859,815,32,396.43654,0.02204,3.16522,-0.13098,320,40,79.67565,428,55.66514
79.1306427058315,10.368699489404,816,41,401.80775,0.01855,3.09222,-0.17521,343,10,88.61412,359,20.15118
79.1306963137569,10.3596599595447,817,41,403.59487,0.02382,3.11255,-0.14806,332,40,86.3737,377,63.34478
79.1307498723669,10.3506204243436,818,46,497.49743,0.01731,3.13292,-0.16319,340,10,87.4481,370,23.01906
79.1309102523734,10.323501786734,819,41,1211.42273,0.02332,3.19429,-0.14489,325,10,88.53295,397,74.39751
79.1309636137905,10.3144622302103,820,41,1447.92324,0.02322,3.21483,-0.15551,329,10,88.63791,386,89.39406
79.1310169259264,10.3054226683672,821,36,1582.05696,0.01774,3.23542,-0.16553,320,40,88.72847,386,188.1172
79.131070188788,10.2963831012092,822,29,1575.07483,0.01914,3.25605,-0.11552,307,60,87.10562,374,96.58842
79.131123402382,10.2873435287408,823,37,1568.09913,0.01748,3.27672,-0.08772,331,10,89.97816,382,68.6064
79.1311765667153,10.2783039509664,824,30,1561.12983,0.01876,3.90572,-0.31186,327,40,87.10938,370,220.71953
79.1312296817947,10.2692643678905,825,34,1554.16693,0.01935,4.57926,-0.11907,361,40,88.9612,355,193.5538
79.1312827476269,10.2602247795176,826,32,1448.0603,0.01794,5.2548,-0.20989,344,10,89.9805,364,72.31664
79.1313357642187,10.2511851858522,827,26,1221.35484,0.02103,5.93236,-0.25961,323,10,88.98826,348,74.43184
