fid,erosion_score_pred
645,0.6975146809809868
646,0.7122580243115058
648,0.7165381518062529
649,0.7101309400229756
650,0.7111620000854351
651,0.7080878388936214
652,0.7082845523566876
653,0.6766576603439151
654,0.6734329524723038
655,0.6885360444938395
656,0.6941091555451767
657,0.6894755133120136
658,0.6879813336312754
659,0.7063059631581791
660,0.6929963295836647
661,0.6772236382864236
662,0.5889386928181196
663,0.509591906827771
664,0.6275828085916137
665,0.6947293759471841
666,0.6777392165113433
667,0.7121446500931203
668,0.703680039889652
669,0.7129273012580222
670,0.7064297500309045
675,0.7111830083694997
676,0.7001758186390735
695,0.6145488993401813
696,0.6406683849120521
697,0.6641048409929963
698,0.6629221578408605
699,0.687314536613981
700,0.7154118476768347
701,0.6847554768679376
710,0.6410992868819924
711,0.6607997817452513
712,0.6837394516233993
713,0.6963324814535676
714,0.7095596515551836
715,0.7099616343576827
716,0.6955374927153619
717,0.7025091755509995
718,0.6937505198064561
719,0.6851471057370528
720,0.700951157779032
721,0.696404129332024
722,0.6875010318416892
723,0.6331439798966333
724,0.670970657783062
725,0.6805984125419108
726,0.6744369156309012
727,0.6851415136329908
728,0.699727877247215
729,0.6674038754849564
730,0.5327316888795881
731,0.5195539241720833
732,0.6737209775837937
733,0.6801840032748321
734,0.6903848598025666
736,0.7147982204633603
737,0.6746365096891519
738,0.6687144688856516
740,0.7007593567178639
741,0.6982762125788142
742,0.7163923620878045
743,0.6748056548880138
744,0.6485132477669111
760,0.6854168118769477
761,0.6398991272863719
762,0.6418324903074776
763,0.5937489747439455
764,0.6340084574462
765,0.6530607525642664
766,0.6477297750192935
767,0.6494006668132128
768,0.6889412792101788
769,0.692992002565206
770,0.690531809259559
771,0.6797659126870066
772,0.6765903136785056
773,0.6969661168018231
774,0.6903918727449337
775,0.6865637957577951
776,0.6783002120711105
777,0.6516095160257678
778,0.6587263765739254
779,0.6652153647704832
780,0.7052488304495473
781,0.7053807988068527
782,0.7036739463808531
783,0.6723234341937571
784,0.6443894474934001
785,0.6879698598903928
786,0.6644722667808175
787,0.6627676365056834
788,0.6721354438516759
789,0.6969670603574724
790,0.6626238147325677
791,0.5799445355584038
792,0.6646393809213647
793,0.6761214400526253
794,0.685790001574915
795,0.6834956979189688
796,0.7366128792993029
797,0.6834186906303258
798,0.5216850628759023
799,0.5798892133715624
